message,destination
Advance to Go (Collect $200),Go
Take a trip to Reading Railroad,Reading Railroad
Take a walk on the Boardwalk,Boardwalk
Advance to Illinois Ave,Illinois Avenue
Advance to St. Charles Place,St. Charles Place
Advance token to Electric Company,Electric Company
Advance token to Water Works,Water Works
Advance token to B&O Railroad,B&O Railroad
Go directly to Jail Do not pass Go, Jail
Advance to Vermont Avenue,Vermont Avenue
Advance to Marvin Gardens,Marvin Gardens
Advance to Pennsylvania Railroad,Pennsylvania Railroad
Advance to Pacific Avenue,Pacific Avenue
Advance to Park Place,Park Place
Advance to Baltic Avenue,Baltic Avenue
